OBJECTID;WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;NO_KEL;NO_KEC;NO_KAB;ID_RT_AR;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;SHAPE.AREA;SHAPE.LEN
35397;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;003;010;1001;01;73;3173011001010003;0,03016137;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;30161,36893;925,025664
35398;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;013;010;1001;01;73;3173011001010013;0,01720791;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;17207,90914;572,5425257
35399;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;004;010;1001;01;73;3173011001010004;0,01576203;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;15762,0269;829,3388463
35400;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;009;010;1001;01;73;3173011001010009;0,06051581;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;60515,80553;1184,191592
35401;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;011;010;1001;01;73;3173011001010011;0,0229731;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;22973,09758;785,7901088
35402;JAKARTA BARAT;CENGKARENG;KAPUK;001;007;1005;01;73;3173011005007001;0,06601646;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;66016,45631;1283,310992
35403;JAKARTA BARAT;KALI DERES;TEGAL ALUR;001;003;1003;06;73;3173061003003001;0,02067218;70 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;20672,18251;635,244233
35404;JAKARTA BARAT;KALI DERES;TEGAL ALUR;001;002;1003;06;73;3173061003002001;0,43747325;80 CM;3;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;437473,253;3099,58958
35405;JAKARTA BARAT;KALI DERES;TEGAL ALUR;015;003;1003;06;73;3173061003003015;0,03946249;80 CM;3;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;39462,49096;868,5079642
35406;JAKARTA BARAT;KALI DERES;TEGAL ALUR;002;011;1003;06;73;3173061003011002;0,04908593;40 s.d 60 cm;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;49085,92952;1073,700712
35407;JAKARTA BARAT;KALI DERES;TEGAL ALUR;003;003;1003;06;73;3173061003003003;0,01695412;80 CM;3;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;16954,12045;654,5338786
35408;JAKARTA BARAT;KALI DERES;KAMAL;010;001;1004;06;73;3173061004001010;0,10378786;40 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;103787,8581;1492,760309
35409;JAKARTA BARAT;KALI DERES;KAMAL;006;001;1004;06;73;3173061004001006;0,01320411;40 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;13204,11063;509,1075022
35410;JAKARTA BARAT;KALI DERES;KAMAL;001;006;1004;06;73;3173061004006001;0,03450366;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;34503,6604;771,3106984
35411;JAKARTA BARAT;KALI DERES;KAMAL;007;006;1004;06;73;3173061004006007;0,0474863;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;47486,29541;1105,473321
35412;JAKARTA BARAT;KALI DERES;KAMAL;006;006;1004;06;73;3173061004006006;0,01863992;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;18639,91864;592,1236035
35413;JAKARTA BARAT;CENGKARENG;KAPUK;005;006;1005;01;73;3173011005006005;0,00859925;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;8599,249979;416,6283151
35414;JAKARTA BARAT;CENGKARENG;KAPUK;003;006;1005;01;73;3173011005006003;0,0046268;50 CM;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;4626,803498;288,7871809
35415;JAKARTA BARAT;KALI DERES;TEGAL ALUR;008;004;1003;06;73;3173061003004008;0,00831877;40 s.d 60 cm;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;8318,770937;397,3350407
35416;JAKARTA BARAT;KALI DERES;TEGAL ALUR;006;004;1003;06;73;3173061003004006;0,00375123;40 s.d 60 cm;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;3751,233891;323,3896095
35417;JAKARTA BARAT;KALI DERES;TEGAL ALUR;005;015;1003;06;73;3173061003015005;0,10727581;40 s.d 60 cm;2;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;107275,8108;1545,987336
35418;JAKARTA BARAT;KALI DERES;TEGAL ALUR;001;011;1003;06;73;3173061003011001;0,0579977;80 CM;3;YES;-;2022-01-19 10.41.12;2022-01-19 10:41;57997,69972;1047,175282
